profile type,profile name,parameter name,parameter value
NeighborListCDMA2000Profile,NeighbourListCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.NeighborList.InterRATCell.CDMA2000.ARFCN,2046
NeighborListCDMA2000Profile,NeighbourListCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.NeighborList.InterRATCell.CDMA2000.CID,452
NeighborListCDMA2000Profile,NeighbourListCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.NeighborList.InterRATCell.CDMA2000.BandClass,0
NeighborListCDMA2000Profile,NeighbourListCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.NeighborList.InterRATCell.CDMA2000.MarketId,0
NeighborListCDMA2000Profile,NeighbourListCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.NeighborList.InterRATCell.CDMA2000.SwitchNumber,0
NeighborListCDMA2000Profile,NeighbourListCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.NeighborList.InterRATCell.CDMA2000.PNOffset,0
NeighborListCDMA2000Profile,NeighbourListCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.NeighborList.InterRATCell.CDMA2000.Type,hrpd
NeighborListCDMA2000Profile,NeighbourListCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.NeighborList.InterRATCell.CDMA2000.SectorNumber,0
