profile type,profile name,parameter name,parameter value
Self-HealingProfile,Self-HealingProfile_SR4.6,DOCSIS.SelfHealingEnabled,1
Self-HealingProfile,Self-HealingProfile_SR4.6,WiFi.SelfHealingEnabled,1
