profile type,profile name,parameter name,parameter value
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.5.poll_pdu,16
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.5.poll_byte,25
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.5.max_retx_threshold,32
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.5.t_reordering,40
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.5.t_status_prohibit,60
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.5.sn_field_length,10
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.5.discard_timer,1500
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.5.sn_size,12
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.5.rohc_max_cid,0
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.5.lc_priority,1
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.5.prioritised_bit_rate,8
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.5.bucket_size_duration,100
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.5.logicalChannelGroup,0
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.6.dscp_outer,CS1
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.6.dscp_inner,CS1
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.6.rlc_mode,AM
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.6.t_poll_retransmit,60
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.6.poll_pdu,16
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.6.poll_byte,25
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.6.max_retx_threshold,32
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.6.t_reordering,40
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.6.t_status_prohibit,60
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.6.sn_field_length,10
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.6.discard_timer,500
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.6.sn_size,12
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.6.rohc_max_cid,0
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.6.lc_priority,1
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.6.prioritised_bit_rate,8
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.6.bucket_size_duration,100
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.6.logicalChannelGroup,0
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.7.dscp_outer,CS2
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.7.dscp_inner,CS2
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.7.rlc_mode,UM
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.7.t_poll_retransmit,5
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.7.poll_pdu,4
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.7.poll_byte,25
